

hash,hexSize,path
1883FBC064FE20336DD1B7104CB2B838,      AE,Semi-VB-Decompiler\Semi VB Decompiler\modMain.bas
4E9ECCC0CCB12DB567D660192399E74C,     CFD,Semi-VB-Decompiler\Semi VB Decompiler\modNative.bas
FF2F8E314ABE754BBA7483098F1E467B,    113C,Semi-VB-Decompiler\Semi VB Decompiler\modNeFormat.bas
4AC9FBF207D90A2CC500D5986F163631,    C7E8,Semi-VB-Decompiler\Semi VB Decompiler\modOutput.bas
FC3F847A71157E9B894408C14114DE21,   1C149,Semi-VB-Decompiler\Semi VB Decompiler\modPCode.bas
93ABB844367DB10346FEC196A85FB04A,    144C,Semi-VB-Decompiler\Semi VB Decompiler\modPCodeToVB.bas
57FB1AA8005E92A967E7E0BCE6A35317,    931D,Semi-VB-Decompiler\Semi VB Decompiler\modPeSkeleton.bas
153C4B6F062935426740E9AFD1303B26,     845,Semi-VB-Decompiler\Semi VB Decompiler\modRegistry.bas
4ECCB457FE507795B70672F03EDD6BAB,     A45,Semi-VB-Decompiler\Semi VB Decompiler\modTypeLB.bas
07C3A6DAF9F0B72EE74C7692B738F996,      34,Semi-VB-Decompiler\Semi VB Decompiler\modVB1.bas
8403A8473338877A89A39F65A2DCB835,      34,Semi-VB-Decompiler\Semi VB Decompiler\modVB3.bas
DFE7C2327469267E0E9132C642F95BAF,    161B,Semi-VB-Decompiler\Semi VB Decompiler\modVB4.bas
70FF830F9FA790AC2F001CDBBE7675F3,      34,Semi-VB-Decompiler\Semi VB Decompiler\modVB5.bas
1FF456711BA1BDD498EB74DCBD617DAF,   19EC9,Semi-VB-Decompiler\Semi VB Decompiler\modVBNET.bas
E5CFD80DB9C84B66331B0423A09B90F0,    13DF,Semi-VB-Decompiler\Semi VB Decompiler\modWindowSpy.bas
18FE4365118D0099AD884E015182FD92,   1F000,Semi-VB-Decompiler\Semi VB Decompiler\olly.dll
CFD590E96496871920ADDC7CAE646860,    BBBD,Semi-VB-Decompiler\Semi VB Decompiler\opcode.def
45DC2278ACD283031801E26AF14B7CA4,    7315,Semi-VB-Decompiler\Semi VB Decompiler\opcodes.txt
F215FB67A587C98EBD2E0F3899C25652,   74000,Semi-VB-Decompiler\Semi VB Decompiler\pePropertySheet.ocx
F1CFFEF9C7DFB951AEA82B6801772024,   112D8,Semi-VB-Decompiler\Semi VB Decompiler\peropcod.txt
67ED3DD87B5BD633528EAC59B8C6767E,       4,Semi-VB-Decompiler\Semi VB Decompiler\temp.dat
84AB8C6162FCB931B4AD1A7100D0DF0F,     292,Semi-VB-Decompiler\Semi VB Decompiler\userForm.ctl
6F4E70C0C0F9D64FD48E77790FD1A1BD,   C9D5D,Semi-VB-Decompiler\Semi VB Decompiler\winapi.dat
4E7FF5AB29221E312675B9592294C784,    7000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\ApiLoader.exe
90A39346E9B67F132EF133725C487FF6,   20710,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\MSINET.OCX
661BF037C143117522CBA55840965FFE,  152510,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\MSVBVM60.DLL
714CF24FC19A20AE0DC701B48DED2CF6,  1044C0,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\Mscomctl.ocx
06EE7BB3C681B9FA8AF4280A154EE133,   3BAC0,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\Msflxgrd.ocx
6801F45DFAC0743D3A0D73B121E261DA,   2A910,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\RICHED32.DLL
EB4A8F35A70A887FE32F43A3AA7D4E9A,   31CC8,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\RICHTX32.OCX
94C5B60FF2054FB549E5E2B08C923820,    22FE,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\ReadMe.txt
DC7A3BC0FC185CD68848DC6F7D7B026B,    A000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\SSubTmr6.dll
EE1FEBFDA02DF2870EC1D799F619793A,  106000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\SemiVBDecompiler.exe
F0194E07CE833C0EB108BDB7D3B5304A,     2DA,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\SemiVBDecompiler.exe.manifest
89C5AF2F4202DFC9AE4E98A26A1342B6,    6000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\SemiVBDecompilerHelper.dll
908938D3BA2D870EE9FC6238A4C6AF95,   332C8,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\Tabctl32.ocx
C1CE4F6E76557A4A92B2CE0604A5E753,   1A000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\TypeLibraryExplorer.exe
85BD1B351115F396FBD929AF1AC62B24,   12000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\VBObfuscator.exe
87AF6A03A3DF4208C63A518CDA4EE59E,    E2A4,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\WinSubHook2.tlb
4219192ACF00A39F10F6E76439290580,   1E000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\cPopMenu6.ocx
D76F0EAB36F83A31D411AEAF70DA7396,   22400,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\comdlg32.ocx
7057607385419CD31F68C93D829D55CC,   8B000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\oleaut32.dll
B01AE32E9BE9EA03643BCF5BC590BA41,   1A000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\olepro32.dll
18FE4365118D0099AD884E015182FD92,   1F000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\olly.dll
F215FB67A587C98EBD2E0F3899C25652,   74000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\pePropertySheet.ocx
5950211FCC06A876F838D1996A77022A,   2F000,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\prjVBBinaryToText.exe
C91C669DD681B6F00A87EEE264FCADE0,     232,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\readmebinarytotext.txt
0857394E30DE11CA0CD9497E310D6469,    4600,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\stdole2.tlb
445CA9EEA4C2D703A113F23104B67236,   24400,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\tlbinf32.dll
00153914DB499A6B54DDC9189151C946,   2DEF9,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\VB32.OLB
376F14DCD409160260FDF98B20FB12DC,   4825A,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\VB6.OLB
4553B30993D512E8E512E50482D9B9A5,    1CB0,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\vb4api.txt
64EC8881C5ADBEFEB5CE990896F77ABC,    513F,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\vb5api.txt
C578D2FAF4A97D34A822E70A28C3D1CA,    586E,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\vb6api.txt
6ADF56FE2A80DDB4389031DB98A79BBD,   CABE5,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\data\winapi.dat
086819C0D7446CCD5F4124023EB9E01B,     2C5,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\Dutch.ini
1A0ED5CB765B30B4E4B15657FCB13A28,     236,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\English.ini
83BB6551DAFE2DA333D4DF8DB7453AFE,     2B8,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\French.ini
C556CC97CF2DF170207CEDE733D0EB65,     2A4,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\German.ini
696C60CC5F9D979758ACFEB2B475B079,     276,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\Italian.ini
A6E6F869AE69173E0D50590379A5E57D,     2AC,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\Portuguese.ini
A2C16F78F70B1DB0FF0AFF61EBB888D7,     2CB,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\Spanish.ini
4B45B1FC18C6A25F3CCCDC1A0B66DF1C,      73,Semi-VB-Decompiler\Semi VB Decompiler\Install Folder\lang\lang.ini
366FDE60E794E657B4ECCCB019ACCBAC,     431,Semi-VB-Decompiler\Semi VB Decompiler\data\ComFix.txt
00153914DB499A6B54DDC9189151C946,   2DEF9,Semi-VB-Decompiler\Semi VB Decompiler\data\VB32.OLB
376F14DCD409160260FDF98B20FB12DC,   4825A,Semi-VB-Decompiler\Semi VB Decompiler\data\VB6.OLB
96FFBC9E2C36D5756B8B3EEDE39AB595,    9987,Semi-VB-Decompiler\Semi VB Decompiler\data\asm.txt
4553B30993D512E8E512E50482D9B9A5,    1CB0,Semi-VB-Decompiler\Semi VB Decompiler\data\vb4api.txt
64EC8881C5ADBEFEB5CE990896F77ABC,    513F,Semi-VB-Decompiler\Semi VB Decompiler\data\vb5api.txt
C578D2FAF4A97D34A822E70A28C3D1CA,    586E,Semi-VB-Decompiler\Semi VB Decompiler\data\vb6api.txt
6ADF56FE2A80DDB4389031DB98A79BBD,   CABE5,Semi-VB-Decompiler\Semi VB Decompiler\data\winapi.dat
306232E5AC0CE5805B3D09E2210254A6,     1AE,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\ANIBUTON.300
7A4AABA6C6C8D42FCB3DFF7D76157D74,     201,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\CMDIALOG.300
93BD28E9385F3F16DBB4A582EA80DED2,     255,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\CRYSTAL.300
D2A794DFA36D8DB495250A32B994A3CC,      27,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\DBVBZIP.300
69CE9B9529202F339300251EC942A0E7,    7F00,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\FRMS2TXT.EXE
719CEB5DFDB62EA2EE3E20CFBA923D39,      4B,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\FRMS2TXT.INI
927DB59FB9E6B7707FD8609BF191BCA5,     A80,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\FRMS2TXT.WRI
75FE204590DD03D96B495D7A37ED2674,     117,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\GAUGE.300
55D0272D6B53A5ACBA15AAFB69A74F46,     61C,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\GRAPH.300
F7415FD11D8E884AF9DA91602C5DE3FE,     2A9,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\GRID.300
8A10E3F88AB0F958E8BF8D8D2AC11A55,      AE,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\KEYSTAT.300
2BBF9ED38E955341DAA49F1A44E2D197,     7D5,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MCI.300
0E207CB3B1BF50B70C248011832EC5D9,     220,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MSCOMM.300
87261CE97BDA43240840201D61B47208,     37C,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MSMAPI.300
EC4B99DF5191516244FBFB225BC913BA,     1C0,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MSMASKED.300
C8756B4AA22244A18F27B7A52DDF47B2,     2E5,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MSOLE2.300
5793EBA448385954AEF6474498048236,     25E,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\MSOUTLIN.300
E1511D08D893E74A62717C137DA4F19C,     7A3,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\PENCNTRL.300
769612DDFE1B7ADC1B56F3AA15E876E8,     138,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\PICCLIP.300
1C9F556887B09EACEA45E7AEDC66DA1F,     15B,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\SPIN.300
49E1923AE36CE3CA14C5A99FC9728F88,     5B0,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\STD_P_E.300
3E8821D1C046929FFA679B0B0475914A,     5FC,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\THREED.300
ABE5AC5FE535E58EAFE56C829021AE08,      27,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBCTL3D.300
623C878DD18D777559B9265B17595FF7,   152AE,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBDIS2X.DAT
7850C0A2B6D8F587AEDBFCB13517EF30,    12B8,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBDIS3I.DAT
8FF24E33904372C1381A023290A13978,   152AE,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBDIS3X.DAT
5B0FC02EE1994ED75D25E646C7275907,    1AF8,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBRUN200.300
46452C6C7A8C36E848F86B0CD274B42D,    210F,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBRUN300.300
10AD3CAD4FEABCED9CD6D14E7F88F9C2,     299,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\VBTRANS.DAT
EC4B99DF5191516244FBFB225BC913BA,     1C0,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\_MSMASKED.300
81051BCC2CF1BEDF378224B0A93E2877,       2,Semi-VB-Decompiler\Semi VB Decompiler\data\vb3\empty.frm
086819C0D7446CCD5F4124023EB9E01B,     2C5,Semi-VB-Decompiler\Semi VB Decompiler\lang\Dutch.ini
1A0ED5CB765B30B4E4B15657FCB13A28,     236,Semi-VB-Decompiler\Semi VB Decompiler\lang\English.ini
83BB6551DAFE2DA333D4DF8DB7453AFE,     2B8,Semi-VB-Decompiler\Semi VB Decompiler\lang\French.ini
C556CC97CF2DF170207CEDE733D0EB65,     2A4,Semi-VB-Decompiler\Semi VB Decompiler\lang\German.ini
696C60CC5F9D979758ACFEB2B475B079,     276,Semi-VB-Decompiler\Semi VB Decompiler\lang\Italian.ini
A6E6F869AE69173E0D50590379A5E57D,     2AC,Semi-VB-Decompiler\Semi VB Decompiler\lang\Portuguese.ini
A2C16F78F70B1DB0FF0AFF61EBB888D7,     2CB,Semi-VB-Decompiler\Semi VB Decompiler\lang\Spanish.ini
4B45B1FC18C6A25F3CCCDC1A0B66DF1C,      73,Semi-VB-Decompiler\Semi VB Decompiler\lang\lang.ini
E51572DC65FC98531E13EFEADE8EAD94,      E7,Semi-VB-Decompiler\VB3 Decompiler OCX\EMPTY.FRM
3941B05F540516C6D054B8B5E162890C,    20E6,Semi-VB-Decompiler\VB3 Decompiler OCX\F0000.FRM
7E2032F291FC4E48E8BF32863CFC507F,       C,Semi-VB-Decompiler\VB3 Decompiler OCX\F0000.FRX
53C19F4B806F90FF33FD974745DC8943,     A9A,Semi-VB-Decompiler\VB3 Decompiler OCX\F0001.FRM
ABB0B5EDD4620609B8AB8B51952A8CFF,     F31,Semi-VB-Decompiler\VB3 Decompiler OCX\F0002.FRM
436255612148FD780386CFB550B02A9D,    1242,Semi-VB-Decompiler\VB3 Decompiler OCX\F0003.FRM
7E2032F291FC4E48E8BF32863CFC507F,       C,Semi-VB-Decompiler\VB3 Decompiler OCX\F0003.frx
3981A76F0455257DCC07878FB299B1D8,    213C,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE1.BAS
315C29C2812067E1A5B0AD5EBB20CD07,    1460,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE10.BAS
F41A56A556BB8625C27EFEA5AE72B8F3,    6460,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE11.BAS
C0635660A9C08006E346457E2026BDF7,    2B5A,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE12.BAS
9435D53BFFEBAD86ED882C65504EA7F3,     F2F,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE13.BAS
18902AED93CF5E8B2798E8232062F69C,    62B2,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE14.BAS
DFF43749307C728222A1D8D88B75C7F3,     17F,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE15.BAS
3EABC9C1FBAAEC58877AE00C7D98EC06,    5D83,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE16.BAS
874F4E1620C34AC205D7F614C3E4622C,    244E,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE17.BAS
18F9F025CC035B00DA733DE25161D94B,     B7E,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE18.BAS
B06BC93CC76D3B136E25D58F060AD589,      1B,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE19.BAS
477AD72F779567F819A6934332009733,    196B,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE2.BAS
29B41863713AB23B9069F7187F5DF785,     BE6,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE20.BAS
28944D9A6A37402484CB57A71023321E,     6A7,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE21.BAS
602B7B7041F29A77B537E31FC5138182,      1B,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE22.BAS
10DE85A535869482F4C69853233C298D,    11EC,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE3.BAS
C189BE99C75FB07DDF5F20D6F0A41E33,    4205,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE4.BAS
6241DDF55C36CB052E318696EA55AC87,     80D,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE5.BAS
7442DBC493783051A1BFD821C045D318,    802D,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE6.BAS
2273D0CCD6EFF4C23F550A6E541D279F,    19C2,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE7.BAS
9506E4905F5F94A052241C83543D9665,     2AA,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE8.BAS
B839D1E9954013F6B7E9E9C634F7697C,      1A,Semi-VB-Decompiler\VB3 Decompiler OCX\MODULE9.BAS
D34D30ECF59A8EAB237FDD716C3FDCB2,    10C9,Semi-VB-Decompiler\VB3 Decompiler OCX\VB3DecompilerOcx.ctl
6A3CBD9F4A2694959A8CE494C1729E75,   15C51,Semi-VB-Decompiler\VB3 Decompiler OCX\VB3DecompilerOcx.ctx
C042564D44FC66C2F9FE65C49DC6A7F0,     C12,Semi-VB-Decompiler\VB3 Decompiler OCX\frmAbout.frm
D781FAB2A95D10F899818EE98E1ACACB,     51B,Semi-VB-Decompiler\VB3 Decompiler OCX\frmTester.frm
71E21C579A7AD2D47EC3B3E6E1486C31,    4BB7,Semi-VB-Decompiler\VB3 Decompiler OCX\modGlobals.bas
F8672CA4FBB445FBAC8C4B5BBD77C27F,     2D8,Semi-VB-Decompiler\VB3 Decompiler OCX\prjTester.vbp
5456874555BF4E720944B8EF9304BD3C,      35,Semi-VB-Decompiler\VB3 Decompiler OCX\prjTester.vbw
57A7760F812D328017BDD921A1033304,     438,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.exp
C313EF591487125348DDE34574B16FA8,     AC8,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.lib
4B3E245A33139901B628FC2A2C0DC370,    2600,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.oca
074AC7B4F3E8F1EA020253B7BAF1F470,   56000,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.ocx
B07DA6FB8807884EA0A55BCE1DE79EAF,     63C,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.vbp
5C48B0619744E47336AF0F67AE0A2D64,     2FD,Semi-VB-Decompiler\VB3 Decompiler OCX\prjVB3Decompiler.vbw
306232E5AC0CE5805B3D09E2210254A6,     1AE,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\ANIBUTON.300
7A4AABA6C6C8D42FCB3DFF7D76157D74,     201,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\CMDIALOG.300
93BD28E9385F3F16DBB4A582EA80DED2,     255,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\CRYSTAL.300
D2A794DFA36D8DB495250A32B994A3CC,      27,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\DBVBZIP.300
E51572DC65FC98531E13EFEADE8EAD94,      E7,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\EMPTY.FRM
69CE9B9529202F339300251EC942A0E7,    7F00,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\FRMS2TXT.EXE
748CD1B2D2F581A8023710A16B170EE8,      43,Semi-VB-Decompiler\VB3 Decompiler OCX\vb3\FRMS2TXT.INI
